unitid,sgtype,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
229115,9,6,"R",8,"R",3,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",2,"R",15,"R",16,"R",0,"R",0,"R",24,"R",22,"R",11,"R",1,"R",1,"Z",0,"R",2,"R",31,"Z",0,"R",46
229115,10,99,"Z",0,"R",1,"R",2,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"R",24,"R",19,"R",20,"R",18,"Z",0,"Z",0,"R",47,"R",40,"R",1,"R",4,"R",1,"Z",0,"R",43,"R",38,"Z",0,"R",87
229115,11,7,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",3,"R",3,"R",0,"R",0,"R",4,"R",5,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",6,"Z",0,"R",9
229115,12,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",12,"R",0,"R",0,"R",0,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",12,"Z",0,"R",13
229115,13,9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",4,"R",0,"R",0,"R",0,"R",5,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"R",5
229115,14,10,"R",0,"R",1,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",22,"R",17,"R",13,"R",3,"R",0,"R",0,"R",38,"R",22,"R",1,"R",3,"R",1,"Z",0,"R",39,"R",16,"Z",0,"R",60
229337,1,13,"Z",0,"Z",0,"R",3,"R",8,"R",2,"R",1,"R",10,"R",15,"R",16,"R",58,"R",38,"R",115,"Z",0,"Z",0,"R",69,"R",197,"Z",0,"R",11,"R",3,"R",25,"R",74,"R",153,"Z",0,"R",266
229337,2,11,"Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"R",6,"R",6,"R",5,"R",3,"R",16,"R",17,"Z",0,"Z",0,"R",29,"R",28,"Z",0,"R",3,"R",1,"R",12,"R",8,"R",33,"Z",0,"R",57
229337,3,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
229337,4,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",4
229337,5,3,"Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"R",4,"R",5,"R",5,"R",3,"R",14,"R",17,"Z",0,"Z",0,"R",25,"R",27,"Z",0,"R",3,"R",1,"R",9,"R",8,"R",31,"Z",0,"R",52
229337,6,12,"Z",0,"Z",0,"R",2,"R",6,"R",1,"R",1,"R",4,"R",9,"R",11,"R",55,"R",22,"R",98,"Z",0,"Z",0,"R",40,"R",169,"Z",0,"R",8,"R",2,"R",13,"R",66,"R",120,"Z",0,"R",209
229337,7,99,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",3,"R",6,"R",1,"R",9,"R",17,"R",43,"Z",0,"Z",0,"R",22,"R",59,"Z",0,"R",1,"R",1,"R",9,"R",10,"R",60,"Z",0,"R",81
229337,8,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",3
