unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
236577,14,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",2,"R",2,"R",0,"R",23,"R",17,"R",0,"R",0,"R",27,"R",20,1
236577,15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",1,1
236577,16,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",2,"R",0,"R",0,"R",7,"R",2,1
236577,17,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",5,"R",0,"R",0,"R",7,"R",5,1
236577,18,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",6,"R",0,"R",0,"R",4,"R",6,1
236577,19,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",1,1
236577,21,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22,"R",15,"R",0,"R",0,"R",22,"R",15,1
236577,22,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",2,"R",3,"R",0,"R",108,"R",55,"R",0,"R",0,"R",115,"R",58,1
236595,1,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",35,"R",15,"R",1,"R",0,"R",39,"R",16,1
236595,2,"R",0,"R",2,"R",1,"R",1,"R",1,"R",0,"R",4,"R",4,"R",3,"R",1,"R",53,"R",43,"R",0,"R",1,"R",62,"R",52,1
236595,3,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",1,"R",0,"R",0,"R",7,"R",2,1
236595,7,"R",0,"R",3,"R",2,"R",2,"R",1,"R",0,"R",6,"R",4,"R",3,"R",1,"R",95,"R",59,"R",1,"R",1,"R",108,"R",70,1
236595,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",0,"R",0,"R",3,"R",0,1
236595,9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",1,"R",1,"R",0,"R",3,"R",4,"R",0,"R",0,"R",7,"R",5,1
236595,10,"R",1,"R",3,"R",0,"R",2,"R",1,"R",0,"R",4,"R",2,"R",0,"R",2,"R",18,"R",15,"R",2,"R",1,"R",26,"R",25,1
236595,14,"R",1,"R",3,"R",0,"R",2,"R",1,"R",0,"R",7,"R",3,"R",1,"R",2,"R",24,"R",19,"R",2,"R",1,"R",36,"R",30,1
236595,15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0,"R",1,"R",3,"R",3,1
236595,16,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",1,"R",0,"R",0,"R",5,"R",1,1
236595,17,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",8,"R",0,"R",0,"R",5,"R",9,1
236595,18,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",11,"R",14,"R",0,"R",0,"R",12,"R",17,1
236595,19,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",10,"R",6,"R",0,"R",0,"R",10,"R",10,1
236595,20,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",8,"R",0,"R",0,"R",4,"R",8,1
236595,21,"R",1,"R",3,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",3,"R",37,"R",39,"R",0,"R",1,"R",39,"R",48,1
236595,22,"R",2,"R",9,"R",3,"R",5,"R",2,"R",0,"R",13,"R",8,"R",4,"R",6,"R",156,"R",117,"R",3,"R",3,"R",183,"R",148,1
236610,6,"Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"R",2,"R",3,"R",2,"R",2,"R",42,"R",48,"Z",0,"Z",0,"R",48,"R",55,1
236610,7,"Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"R",2,"R",3,"R",2,"R",2,"R",42,"R",48,"Z",0,"Z",0,"R",48,"R",55,1
236610,13,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",1,"R",14,"R",20,"Z",0,"Z",0,"R",17,"R",25,1
236610,14,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",1,"R",14,"R",20,"Z",0,"Z",0,"R",17,"R",25,1
236610,20,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"R",2,"R",5,1
236610,21,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"R",2,"R",5,1
236610,22,"Z",0,"Z",0,"R",3,"R",3,"R",2,"R",2,"R",2,"R",6,"R",3,"R",4,"R",57,"R",70,"Z",0,"Z",0,"R",67,"R",85,1
236638,6,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",2,"R",2,"R",30,"R",37,"Z",0,"Z",0,"R",35,"R",40,1
236638,7,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"R",2,"R",2,"R",30,"R",37,"Z",0,"Z",0,"R",35,"R",40,1
236638,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",12,"R",14,"Z",0,"Z",0,"R",13,"R",15,1
236638,14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",12,"R",14,"Z",0,"Z",0,"R",13,"R",15,1
236638,20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",4,"R",12,"Z",0,"Z",0,"R",5,"R",14,1
236638,21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",4,"R",12,"Z",0,"Z",0,"R",5,"R",14,1
236638,22,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",2,"R",2,"R",3,"R",3,"R",46,"R",63,"Z",0,"Z",0,"R",53,"R",69,1
236656,6,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",1,"R",30,"R",29,"R",0,"R",0,"R",34,"R",31,1
236656,7,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",1,"R",30,"R",29,"R",0,"R",0,"R",34,"R",31,1
236656,13,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",13,"R",9,"R",0,"R",0,"R",15,"R",11,1
236656,14,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",13,"R",9,"R",0,"R",0,"R",15,"R",11,1
236656,20,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",2,"R",0,"R",0,"R",0,"R",4,1
236656,21,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",2,"R",0,"R",0,"R",0,"R",4,1
236656,22,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0,"R",2,"R",3,"R",2,"R",43,"R",40,"R",0,"R",0,"R",49,"R",46,1
236692,6,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",2,"R",1,"R",2,"R",83,"R",52,"Z",0,"Z",0,"R",86,"R",57,1
236692,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",2,"R",1,"R",2,"R",83,"R",52,"Z",0,"Z",0,"R",86,"R",57,1
236692,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",28,"R",9,"Z",0,"Z",0,"R",29,"R",10,1
236692,14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",28,"R",9,"Z",0,"Z",0,"R",29,"R",10,1
236692,20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",2,1
236692,21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",2,1
236692,22,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",2,"R",2,"R",4,"R",114,"R",62,"Z",0,"Z",0,"R",118,"R",69,1
236708,6,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",2,"R",3,"R",2,"R",1,"R",49,"R",47,"Z",0,"Z",0,"R",54,"R",52,1
236708,7,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",2,"R",3,"R",2,"R",1,"R",49,"R",47,"Z",0,"Z",0,"R",54,"R",52,1
236708,13,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",12,"R",9,"Z",0,"Z",0,"R",14,"R",11,1
236708,14,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",12,"R",9,"Z",0,"Z",0,"R",14,"R",11,1
236708,20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",17,"Z",0,"Z",0,"R",15,"R",17,1
236708,21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",17,"Z",0,"Z",0,"R",15,"R",17,1
236708,22,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",3,"R",4,"R",2,"R",1,"R",76,"R",73,"Z",0,"Z",0,"R",83,"R",80,1
236753,6,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"R",1,"R",32,"R",31,"Z",0,"Z",0,"R",38,"R",35,1
236753,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"R",1,"R",32,"R",31,"Z",0,"Z",0,"R",38,"R",35,1
236753,13,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",0,"R",2,"R",1,"Z",0,"R",15,"R",9,"Z",0,"Z",0,"R",17,"R",12,1
236753,14,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",0,"R",2,"R",1,"Z",0,"R",15,"R",9,"Z",0,"Z",0,"R",17,"R",12,1
236753,20,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",3,"R",2,1
236753,21,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",3,"R",2,1
236753,22,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",4,"R",5,"R",3,"R",1,"R",48,"R",42,"Z",0,"Z",0,"R",58,"R",49,1
236887,6,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",1,"R",1,"R",1,"R",0,"Z",0,"R",39,"R",26,"Z",0,"Z",0,"R",42,"R",29,1
236887,7,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",1,"R",1,"R",1,"R",0,"Z",0,"R",39,"R",26,"Z",0,"Z",0,"R",42,"R",29,1
236887,20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",20,"R",21,"Z",0,"Z",0,"R",20,"R",23,1
236887,21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",20,"R",21,"Z",0,"Z",0,"R",20,"R",23,1
236887,22,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",1,"R",1,"R",2,"R",0,"R",1,"R",59,"R",47,"Z",0,"Z",0,"R",62,"R",52,1
236896,1,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",12,"Z",0,"Z",0,"R",39,"R",12,1
236896,2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",15,"R",10,"Z",0,"Z",0,"R",15,"R",12,1
236896,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"R",3,"R",3,1
236896,7,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",55,"R",25,"Z",0,"Z",0,"R",57,"R",27,1
236896,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,1
236896,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"Z",0,"Z",0,"R",5,"R",3,1
236896,10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",12,"R",6,"Z",0,"Z",0,"R",14,"R",6,1
236896,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"R",5,"Z",0,"Z",0,"R",5,"R",6,1
236896,14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",23,"R",16,"Z",0,"Z",0,"R",25,"R",17,1
236896,16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,1
