UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
159656, 1,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",2,"C",68,"R",17,"Z",0,"Z",0,"C",74,"R",23,"Z",0,"R",6,"Z",0,"R",3,"R",3,"C",85,"Z",0,"C",97
159656, 2,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",2,"R",39,"R",26,"Z",0,"R",1,"R",42,"R",31,"Z",0,"R",2,"Z",0,"R",2,"R",3,"R",65,"R",1,"R",73
159656, 5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
159656, 7,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"R",3,"R",2,"R",2,"R",4,"C",108,"C",43,"Z",0,"R",1,"C",117,"C",54,"Z",0,"R",8,"Z",0,"R",5,"R",6,"C",151,"R",1,"C",171
159656, 9,"C",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",0,"Z",0,"Z",0,"C",2,"C",1,"R",1,"Z",0,"C",3,"C",1,"C",0,"Z",0,"Z",0,"C",0,"Z",0,"C",3,"R",1,"C",4
159656,10,"R",1,"C",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"C",0,"Z",0,"C",11,"C",7,"Z",0,"R",1,"C",13,"C",9,"C",1,"R",1,"Z",0,"R",1,"C",0,"C",18,"R",1,"C",22
159656,12,"C",1,"C",0,"C",0,"C",0,"C",0,"C",0,"C",1,"C",0,"C",1,"C",0,"C",14,"C",0,"C",0,"C",0,"C",17,"C",0,"C",1,"C",0,"C",0,"C",1,"C",1,"C",14,"C",0,"C",17
159656,14,"C",2,"C",0,"C",0,"C",1,"C",0,"C",0,"C",2,"C",0,"C",1,"C",0,"C",27,"C",8,"C",1,"C",1,"C",33,"C",10,"C",2,"C",1,"C",0,"C",2,"C",1,"C",35,"C",2,"C",43
159656,15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"C",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"C",2,"Z",0,"Z",0,"C",2
159656,16,"Z",0,"Z",0,"C",6,"C",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",6,"C",4,"Z",0,"C",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",10
159656,17,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",5,"C",4,"Z",0,"Z",0,"C",5,"C",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",9,"Z",0,"C",9
159656,19,"C",2,"Z",0,"C",1,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"C",9,"R",24,"C",1,"R",4,"C",13,"R",34,"C",2,"C",4,"Z",0,"Z",0,"R",3,"C",33,"C",5,"C",47
159656,21,"C",2,"Z",0,"C",7,"C",7,"Z",0,"Z",0,"Z",0,"Z",0,"C",1,"R",4,"C",14,"C",28,"C",1,"R",4,"C",25,"C",43,"C",2,"C",14,"Z",0,"Z",0,"C",5,"C",42,"C",5,"C",68
