unitid,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
247700,5,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",3,1
247700,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
247700,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,1
247700,12,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4,1
247700,13,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"R",2,"R",4,1
247834,3,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"R",5,"R",5,1
247834,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
247834,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,1
247834,7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,1
247834,8,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",7,"R",1,"R",2,"R",3,"R",12,1
247834,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,1
247834,11,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"R",5,"R",5,1
247834,12,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",11,"R",1,"R",2,"R",6,"R",17,1
247834,13,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",7,"R",14,"R",1,"R",2,"R",11,"R",22,1
247940,2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",3,"R",0,"R",0,"R",5,"R",3,1
247940,3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",1,1
247940,4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,1
247940,5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,1
247940,6,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10,"R",0,"R",0,"R",1,"R",10,1
247940,7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,1
247940,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,1
247940,10,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",1,"R",0,"R",0,"R",5,"R",1,1
247940,11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",4,"R",0,"R",0,"R",6,"R",4,1
247940,12,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",14,"R",0,"R",0,"R",8,"R",14,1
247940,13,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12,"R",18,"R",0,"R",0,"R",14,"R",18,1
